n,p,c,r,profile,theta,ols_sim,ols_pred,ols_reldev,ridge_med_reldev,ridge_max_reldev,lam_max_sim,lam_max_pred,lam_max_reldev
500,50,0.1,1,sub,0.5236,0.29774743236268736,0.29734755109287603,0.0013448278566330902,0.295046034185307,0.9424005178581294,1.6912839262753008,1.158113883008419,0.4603779050483983
500,50,0.1,1,super,0.5236,0.43515222352973504,0.4328625326800836,0.005289648968864813,0.1493080543162468,0.9070309244452706,2.1414567715374666,1.9486832980505138,0.0989249888269714
500,50,0.1,5,sub,0.5236,0.34109714968976357,0.34334737733269594,0.006553793013982883,0.2519137446376457,0.9417926890396834,1.7239951405036595,1.158113883008419,0.4886231533856216
500,50,0.1,5,mixed,0.5236,0.4686815062192586,0.4656627831151279,0.006482637680289715,0.13600201531374848,0.9112363039104776,2.152022600284319,1.9486832980505138,0.10434702367348667
500,50,0.1,5,super,0.5236,0.4990804856385773,0.4998265995298989,0.0014927454681749753,0.12007522085559953,0.8928848851735662,2.404515842258927,1.9486832980505138,0.23391822810019133
500,50,0.1,25,mixed,0.5236,0.4663364845484339,0.4656627831151279,0.0014467581643505887,0.13152929784209832,0.91222657220321,2.186526028150303,1.9486832980505138,0.12205304491382983
500,100,0.2,1,sub,0.5236,0.33189195531093485,0.33468114933604465,0.008333884446862708,0.276195499303137,0.946903158579417,2.050174118236541,1.223606797749979,0.6755171040292437
500,100,0.2,1,super,0.5236,0.4249916056566672,0.4283793070430818,0.007908181676184208,0.1702819380473634,0.9098397820428336,2.6828555363186424,2.341640786499874,0.14571609436680208
500,100,0.2,5,sub,0.5236,0.39146013500850846,0.3864565033237174,0.012947464052894321,0.21223621202793036,0.9386384935997667,2.0862218276050886,1.223606797749979,0.7049773108823222
500,100,0.2,5,mixed,0.5236,0.46861413272906755,0.4699425368521236,0.0028267373537928494,0.15056643442944498,0.9005180405175435,2.6788904331963552,2.341640786499874,0.14402279318023797
500,100,0.2,5,super,0.5236,0.49543327028516465,0.49464981647317724,0.0015838554587432959,0.12956561575352793,0.8945896224269377,2.999905298665923,2.341640786499874,0.28111250707670593
500,100,0.2,25,mixed,0.5236,0.47398336439974903,0.4699425368521236,0.008598556697362635,0.13216470349322135,0.8974778582475311,2.723627075644859,2.341640786499874,0.163127620319576
500,250,0.5,1,sub,0.5236,0.3847858843280905,0.38043699609889503,0.011431296834404067,0.25844523663278546,0.9366939449846439,2.870547260324779,1.3535533905932737,1.1207491926613948
500,250,0.5,1,super,0.5236,0.40827520878906864,0.4041061102501573,0.010316841129500638,0.1860663226263795,0.8906457143978903,3.8539515068284573,3.121320343559643,0.23471835077116787
500,250,0.5,5,sub,0.5236,0.4415526553852206,0.4392908042147793,0.0051488698346060496,0.22709917013038605,0.927740530547218,2.8962784096967487,1.3535533905932737,1.1397592661101352
500,250,0.5,5,mixed,0.5236,0.4621790303204952,0.4599411386345313,0.004865604526282905,0.17197153920621117,0.8886832838473432,3.856677993604123,3.121320343559643,0.23559185508202507
500,250,0.5,5,super,0.5236,0.4688442262374986,0.4666215430682018,0.004763353090562157,0.15531775526298872,0.8738093666013427,4.278618639545604,3.121320343559643,0.37077203510170476
500,250,0.5,25,mixed,0.5236,0.4581141053340244,0.4599411386345313,0.003972319818859764,0.17206974860400984,0.8871831126471482,3.8997384456536484,3.121320343559643,0.24938744390659862
