config_name,g_star,size_null_insamp,size_perm,size_splithalf,pow_half,pow_1,pow_2,max_ctrl_size,pf1_pass
A_main,0.762,0.05,0.0,0.0,0.1425,0.48,0.9975,0.0,False
A_sub,0.511,0.05,0.0,0.0,0.1575,0.5425,0.99,0.0,False
B_main,1.012,0.05,0.0,0.0,0.1625,0.5525,0.9825,0.0,False
B_wide,1.062,0.05,0.0,0.0,0.155,0.5225,0.975,0.0,False
C_main,1.663,0.05,0.0,0.0,0.19,0.515,0.9775,0.0,False
C_wide,1.764,0.05,0.0,0.0033333333333333335,0.205,0.5475,0.995,0.0033333333333333335,False
