config,arm,n,max_dT,max_d_ucm,max_d_js,rejection_disagreements,status
A_main,align_top,200,8.72635297355373e-14,3.3306690738754696e-15,3.3306690738754696e-16,0,OK
A_main,align_weak,200,5.266898028821743e-13,2.7644553313166398e-14,3.3861802251067274e-15,0,OK
A_main,hetero_eps,200,2.9265478929119126e-13,1.4377388168895777e-14,2.6645352591003757e-15,0,OK
A_main,pos_1,400,2.5002222514558525e-13,8.659739592076221e-15,2.55351295663786e-15,0,OK
A_main,pos_2,400,7.664979762012081e-13,2.1760371282653068e-14,6.078471059822732e-15,0,OK
A_main,pos_half,400,2.3780977187470853e-13,8.992806499463768e-15,7.216449660063518e-16,0,OK
A_main,rinj_minus,200,9.370282327836321e-14,1.7208456881689926e-15,0.0,0,OK
A_main,rinj_plus,200,1.517674874662589e-13,7.16093850883226e-15,4.912736883966318e-15,0,OK
A_main,splithalf,300,3.774758283725532e-14,1.1379786002407855e-15,0.0,0,OK
A_sub,hetero_eps,200,1.7763568394002505e-15,4.206704429243757e-17,0.0,0,OK
A_sub,pos_1,400,1.3322676295501878e-15,1.1102230246251565e-16,0.0,0,OK
A_sub,pos_2,400,1.7763568394002505e-15,1.8041124150158794e-16,0.0,0,OK
A_sub,pos_half,400,8.881784197001252e-16,0.0,0.0,0,OK
A_sub,rinj_plus,200,5.773159728050814e-15,9.809861256648844e-16,4.3021142204224816e-16,0,OK
A_sub,splithalf,300,2.220446049250313e-16,3.469446951953614e-17,0.0,0,OK
B_main,hetero_eps,200,6.661338147750939e-15,1.7208456881689926e-15,8.951173136040325e-16,0,OK
B_main,pos_1,400,7.993605777301127e-15,1.6653345369377348e-15,7.632783294297951e-16,0,OK
B_main,pos_2,400,1.1546319456101628e-14,2.275957200481571e-15,9.43689570931383e-16,0,OK
B_main,pos_half,400,4.440892098500626e-15,1.2212453270876722e-15,1.0547118733938987e-15,0,OK
B_main,rinj_plus,200,2.7755575615628914e-14,1.3183898417423734e-15,1.0269562977782698e-15,0,OK
B_main,splithalf,300,4.440892098500626e-16,8.326672684688674e-17,0.0,0,OK
B_wide,hetero_eps,200,5.329070518200751e-15,1.3877787807814457e-15,1.124100812432971e-15,0,OK
B_wide,pos_1,400,4.884981308350689e-15,1.3322676295501878e-15,2.040034807748725e-15,0,OK
B_wide,pos_2,400,9.769962616701378e-15,1.5543122344752192e-15,8.326672684688674e-16,0,OK
B_wide,pos_half,400,3.552713678800501e-15,1.1102230246251565e-15,1.186550857568136e-15,0,OK
B_wide,rinj_plus,200,2.1316282072803006e-14,4.385380947269368e-15,8.049116928532385e-16,0,OK
B_wide,splithalf,300,3.3306690738754696e-16,1.942890293094024e-16,0.0,0,OK
C_main,hetero_eps,200,5.329070518200751e-15,2.220446049250313e-15,6.106226635438361e-16,0,OK
C_main,m2_null,300,3.552713678800501e-15,1.27675647831893e-15,1.0269562977782698e-15,0,OK
C_main,m2_pos,300,2.220446049250313e-15,8.049116928532385e-16,1.1379786002407855e-15,0,OK
C_main,pos_1,400,4.884981308350689e-15,1.9984014443252818e-15,9.117151478221786e-12,0,OK
C_main,pos_2,400,8.881784197001252e-15,2.581268532253489e-15,1.1657341758564144e-15,0,OK
C_main,pos_half,400,5.10702591327572e-15,2.6645352591003757e-15,8.049116928532385e-16,0,OK
C_main,rinj_plus,200,7.260858581048524e-14,7.598088824778415e-15,8.326672684688674e-16,0,OK
C_main,splithalf,300,2.220446049250313e-16,2.7755575615628914e-16,0.0,0,OK
C_wide,hetero_eps,200,3.552713678800501e-15,1.8318679906315083e-15,5.551115123125783e-16,0,OK
C_wide,pos_1,400,3.9968028886505635e-15,1.4432899320127035e-15,7.216449660063518e-16,0,OK
C_wide,pos_2,400,7.993605777301127e-15,2.0539125955565396e-15,5.551115123125783e-16,0,OK
C_wide,pos_half,400,2.886579864025407e-15,1.5404344466674047e-15,9.43689570931383e-16,0,OK
C_wide,rinj_plus,200,1.1945999744966684e-13,3.7247982476174e-14,5.967448757360216e-16,0,OK
C_wide,splithalf,300,4.440892098500626e-16,1.3877787807814457e-16,0.0,0,OK
